course_id,title,description,skill_id,difficulty,prerequisites,duration_hours,resource_type,provider,url,rating,tags
1,Excel for Beginners: Data Entry & Formulas,Master basic spreadsheet tools formatting and sum average functions.,1,1,[],4.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=Vl0H-qTclOg,4.8,excel spreadsheet formulas beginner
2,Intermediate Excel: VLOOKUP & Pivot Tables,Learn VLOOKUP XLOOKUP Index-Match and dynamic pivot tables for data analysis.,1,2,[1],6.0,Video,YouTube (Kevin Stratvert),https://www.youtube.com/watch?v=m13_D80e3O4,4.8,excel vlookup pivot-tables intermediate
3,Advanced Excel: Dashboards & Data Analytics,Build interactive executive dashboards using advanced formulas slicers and conditional formatting.,1,3,[2],8.0,Video,YouTube (Leila Gharani),https://www.youtube.com/watch?v=K74_FNnlIF8,4.9,excel dashboards analytics advanced
4,Excel Data Cleaning & Wrangling,Learn techniques to sanitize messy datasets remove duplicates and split text columns.,1,2,[1],3.0,Tutorial,YouTube (Alex The Analyst),https://www.youtube.com/watch?v=9NUjHBNWe9M,4.8,excel data-cleaning tutorial
5,SQL Basics: Querying Relational Databases,Understand database tables SELECT WHERE GROUP BY ORDER BY and aggregation.,2,1,[],5.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=HXV3zeQKqGY,4.9,sql databases queries beginner
6,SQL Joins & Complex Queries Masterclass,Master INNER JOIN LEFT JOIN Subqueries UNION and CTE window functions.,2,2,[5],7.0,Video,YouTube (Alex The Analyst),https://www.youtube.com/watch?v=0r5j2yO9h7k,4.8,sql joins window-functions intermediate
7,Advanced Database Design & SQL Optimization,Learn indexing query optimization normalization and stored procedures.,2,3,[6],10.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=ztHopE5Wnpc,4.8,sql indexing optimization advanced
8,SQL Window Functions in 60 Minutes,Quick video tutorial covering ROW_NUMBER RANK DENSE_RANK and LAG LEAD functions.,2,2,[5],1.5,Video,YouTube (Alex The Analyst),https://www.youtube.com/watch?v=Ww71knvhQ-s,4.9,sql window-functions video
9,SQL Practice Problems & Interview Prep,Interactive SQL exercises for practicing real-world data analyst interview queries.,2,2,[6],4.0,Video,YouTube (Luke Barousse),https://www.youtube.com/watch?v=7mz73uXD9DA,4.7,sql practice interview
10,Python Programming for Beginners,Learn variables loops functions data structures and basic scripting in Python.,3,1,[],8.0,Video,YouTube (Mosh),https://www.youtube.com/watch?v=_uQrJ0TkZlc,4.9,python programming basics beginner
11,Intermediate Python: Data Structures & OOP,Master Object-Oriented Programming list comprehensions modules and file I/O.,3,2,[10],10.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=HGOBQPFzWKo,4.8,python oop data-structures intermediate
12,Python Automation & Scripting,Build scripts to automate file management web scraping and data processing.,3,2,[10],6.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=PXMJ6FS7llk,4.8,python automation scripting
13,Python Functions & Lambda Expressions Tutorial,Deep dive into clean Python functions kwargs args and map filter lambda.,3,2,[10],2.0,Tutorial,YouTube (Corey Schafer),https://www.youtube.com/watch?v=9Os0o3wzS_I,4.9,python functions lambda tutorial
14,Python Code Refactoring & Best Practices,Learn PEP 8 standards clean code patterns type hinting and docstrings.,3,3,[11],4.0,Video,YouTube (ArjanCodes),https://www.youtube.com/watch?v=C-gEQdGVXbk,4.8,python best-practices pep8
15,Pandas Fundamentals for Data Analysis,Learn DataFrames Series data loading filtering and summary statistics.,4,2,[10],6.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=vmEHCJofslg,4.9,pandas dataframe python data-analysis
16,Data Manipulation & Cleaning with Pandas,Master handling missing values groupby merging dataframes and apply functions.,4,2,[15],7.0,Video,YouTube (Keith Galli),https://www.youtube.com/watch?v=ZyhVh-qRZPA,4.8,pandas data-cleaning groupby
17,Advanced Pandas: Performance & Vectorization,Optimize Pandas operations avoid slow loops use Categorical types and memory tuning.,4,3,[16],5.0,Video,YouTube (Rob Mulla),https://www.youtube.com/watch?v=D41yG0c_QYs,4.7,pandas optimization vectorization
18,Pandas Cheat Sheet Walkthrough,Comprehensive walkthrough of essential Pandas methods for fast lookup.,4,1,[10],1.5,Video,YouTube (Luke Barousse),https://www.youtube.com/watch?v=WcDaZ67xDzc,4.8,pandas video cheatsheet
19,Introductory Statistics for Data Science,Learn mean median standard deviation probability distributions and z-scores.,5,1,[],6.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=xxpc-HPKN28,4.9,statistics probability basic math
